Año,Pais,satisfaccion,confianza_ffa,confianza_polis,confianza_congreso,confianza_gob,confianza_pj,confianza_partidos,confianza_orga_elector,confianza_presi,democracia_mejor,autoritario_problemas,control_medios,Educacion,izq_dummy,der_dummy,sexo_dummy_hombre,gob_militar_dummy,situ_eco_dummy,interes_dummy,corrupcion_dummy,criminalidad_dummy
2020,Bolivia,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2,0,1,1,0,1,0,0,0
2020,Bolivia,4.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,5,0,0,1,1,1,0,1,0
2020,Bolivia,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2,0,1,0,1,1,1,0,0
2020,Bolivia,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,5,0,1,1,0,0,0,0,0
2020,Bolivia,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,7,0,0,1,1,1,0,0,0
2020,Bolivia,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,5,0,1,1,1,0,0,0,0
2020,Bolivia,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,4,1,0,0,0,1,0,0,0
2020,Bolivia,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,5,0,0,0,1,1,0,0,0
2020,Bolivia,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4,1,0,0,0,0,0,0,0
2020,Bolivia,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3,0,1,1,0,1,0,0,0
2020,Bolivia,3.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,6,1,0,0,0,1,0,1,0
2020,Bolivia,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,2,0,1,0,0,1,1,0,0
2020,Bolivia,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1,0,1,1,1,0,0,0,0
2020,Bolivia,1.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,7,0,0,0,1,1,0,0,0
2020,Bolivia,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,5,0,1,1,1,1,1,0,0
2020,Bolivia,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2,0,0,0,1,1,0,0,0
2020,Bolivia,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,5,0,0,0,0,1,0,0,0
2020,Bolivia,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,4,0,0,0,0,0,0,0,0
2020,Bolivia,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,4,0,0,1,0,0,1,0,0
2020,Bolivia,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,5,0,0,1,1,1,0,0,0
2020,Bolivia,4.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1,0,1,0,1,0,0,0,0
2020,Bolivia,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,6,1,0,1,1,0,0,1,0
2020,Bolivia,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,7,0,0,1,1,0,1,0,0
2020,Bolivia,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2,0,1,0,1,0,1,1,0
2020,Bolivia,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,7,0,0,1,1,1,1,0,0
2020,Bolivia,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,6,0,0,1,0,1,0,0,0
2020,Bolivia,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3,0,1,1,1,0,1,0,0
2020,Bolivia,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,5,0,0,0,0,1,0,0,0
2020,Bolivia,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4,0,0,1,0,1,1,0,0
2020,Bolivia,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4,0,0,1,1,1,0,0,0
2020,Bolivia,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,7,0,0,0,0,0,0,0,0
2020,Bolivia,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,5,0,0,0,0,1,0,0,0
2020,Bolivia,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,3,0,1,0,0,0,0,0,0
2020,Bolivia,2.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,3,0,0,1,0,1,1,0,0
2020,Bolivia,1.0,4.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,2.0,7,0,1,1,0,1,1,0,0
2020,Bolivia,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,7,0,0,1,0,0,0,1,0
2020,Bolivia,2.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4,1,0,1,1,1,1,1,0
2020,Bolivia,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,6,0,0,0,0,0,0,0,0
2020,Bolivia,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1,0,1,0,0,0,1,0,0
2020,Bolivia,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,7,0,0,1,0,0,1,1,0
2020,Bolivia,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,5,0,0,1,0,1,0,0,0
2020,Bolivia,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,5,0,0,1,1,1,0,0,0
2020,Bolivia,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0,0,0,0,0,0,1,0
2020,Bolivia,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3,0,0,1,1,1,0,0,0
2020,Bolivia,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,6,0,0,0,1,0,0,0,0
2020,Bolivia,1.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,5,0,0,0,0,1,1,0,0
2020,Bolivia,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,7,0,0,0,1,1,0,0,0
2020,Bolivia,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,5,1,0,1,1,0,0,1,0
2020,Bolivia,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,7,0,0,0,0,0,1,0,0
